كود الصنف;اسم الصنف;المجموعة;السعر;النقاط 
DP-F304006;لوحة  4 خط  2 فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;136.6;30
DP-F304007;لوحة  6 خط  2 فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;153.75;40
DP-F304008;لوحة 12 خط  3 فاز مع رئيسي 32 امبير  اوروبي MCCB;لوحات EURP;213.5;50
DP-F304009;لوحة  18 خط  3 فاز مع رئيسي 100 امبير اوروبي MCCB;لوحات EURP;247.75;60
DP-F304010;لوحة  24 خط  3 فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;264.75;70
DP-F304011;لوحة 30 خط  3 فاز مع رئيسي 100 امبير  اوروبي  MCCB;لوحات EURP;324.5;80
DP-F304012;لوحة 36 خط  3 فاز مع رئيسي 100 امبير  اوروبي  MCCB;لوحات EURP;393;100
DP-F304013;لوحة  42 خط  3 فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;469.75;120
DP-F304014;لوحة  48 خط  3 فاز مع رئيسي 100 امبير اوروبي  MCCB;لوحات EURP;683.25;170
DP-F304015;لوحة  18 خط  3 فاز مع رئيسي 150 امبير اوروبي  MCCB;لوحات EURP;469.75;120
DP-F304016;لوحة  24 خط  3 فاز مع رئيسي 150 امبير اوروبي  MCCB;لوحات EURP;469.75;120
DP-F304017;لوحة 30 خط  3 فاز مع رئيسي 150 امبير  اوروبي  MCCB;لوحات EURP;469.75;120
DP-F304018;لوحة 36 خط  3 فاز مع رئيسي 150 امبير  اوروبي  MCCB;لوحات EURP;504;140
DP-F304019;لوحة 42 خط  3 فاز مع رئيسي 150 امبير  اوروبي  MCCB;لوحات EURP;580.75;150
DP-F304020;لوحة 48 خط  3 فاز مع رئيسي 150 امبير  اوروبي  MCCB;لوحات EURP;640.5;170
DP-F304021;لوحة 24 خط  3 فاز مع رئيسي 200 امبير اوروبي  MCCB;لوحات EURP;469.75;120
DP-F304022;لوحة 30 خط  3 فاز مع رئيسي 200 امبير اوروبي  MCCB;لوحات EURP;512.5;140
DP-F304023;لوحة 36 خط  3 فاز مع رئيسي 200 امبير  اوروبي  MCCB;لوحات EURP;504;140
DP-F304025;لوحة 48 خط  3 فاز مع رئيسي 200 امبير  اوروبي  MCCB;لوحات EURP;640.5;170
DP-F304027;لوحة 36 خط  3 فاز مع رئيسي 250 امبير  اوروبي  MCCB;لوحات EURP;1212.75;300
DP-F304029;لوحة  8 خط 2فاز مع رئيسي 63 امبير اوروبي  MCCB;لوحات EURP;162.25;40
DP-F304033;newلوحة 12 خط  3 فاز مع رئيسي 100 امبير  اوروبي MCCB;لوحات EURP;213.5;50
DP-F304034;newلوحة  18 خط  3 فاز مع رئيسي 100 امبير اوروبي MCCB;لوحات EURP;247.75;60
DP-F304037;newلوحة 24 خط  3 فاز مع رئيسي 100 امبير  اوروبي MCCB;لوحات EURP;264.75;70
DP-F304038;newلوحة 30 خط  3 فاز مع رئيسي 100 امبير  اوروبي MCCB;لوحات EURP;324.5;80
DP-F304039;newلوحة 24 خط  3 فاز مع رئيسي 150 امبير  اوروبي MCCB;لوحات EURP;469.75;120
DP-F304040;newلوحة 30 خط  3 فاز مع رئيسي 200 امبير  اوروبي MCCB;لوحات EURP;512.5;140
DP-F304041;newلوحة 36 خط  3 فاز مع رئيسي 100 امبير  اوروبي MCCB;لوحات EURP;392.9;100
DP-F304042;newلوحة 36 خط  3 فاز مع رئيسي 200 امبير  اوروبي MCCB;لوحات EURP;504;140
DP-F304043;لوحة  18 خط  3 فاز مع رئيسي 100 امبير اوروبي بدون MCCB;لوحات EURP;209.65;50
DP-F304044;ISOLATOR  لوحة 24 خط  3 فاز مع رئيسي 100 امبير اوروبي بدون MCCB;لوحات EURP;248.5;60
DP-F304045;ISOLATOR  لوحة 36 خط  3 فاز مع رئيسي 100 امبير اوروبي بدون MCCB;لوحات EURP;271.75;70
DP-F304046;ISOLATOR  لوحة 12 خط  3 فاز مع رئيسي 100 امبير اوروبي بدون MCCB;لوحات EURP;178.5;40
DP-F304047;newلوحة 36 خط  3 فاز مع رئيسي 250 امبير  اوروبي MCCB;لوحات EURP;582.25;150
DP-F304049;newلوحة 24 خط  3 فاز مع رئيسي 200 امبير  اوروبي MCCB;لوحات EURP;469.75;120
DP-F304053;newلوحة 36 خط  3 فاز مع رئيسي 150 امبير  اوروبي MCCB;لوحات EURP;504;140
DP-F305001;لوح 12خط 3فاز مع رئيسي100 امبير اوربي Dust- proof;لوحات EURP;700.25;170
DP-F305002;لوح 18خط 3فاز مع رئيسي100 امبير اوربي Dust- proof;لوحات EURP;1025;200
DP-F401001;قاطع رئيسى بالعلبة 30 امبير MCB;قاطع بعلبة;120.25;30
DP-F401002;قاطع رئيسى بالعلبة 40امبير- MCB;قاطع بعلبة;120.25;30
DP-F401003;قاطع رئيسى بالعلبة 50 امبير MCB;قاطع بعلبة;120.25;30
DP-F401004;قاطع رئيسى بالعلبة 60 امبير MCB;قاطع بعلبة;120.25;30
DP-F401005;قاطع رئيسى بالعلبة 63 امبير MCB;قاطع بعلبة;120.25;30
DP-F401006;قاطع رئيسى بالعلبة 100 امبير MCB;قاطع بعلبة;120.25;30
DP-F402001;قاطع رئيسى بالعلبة 60 امبير MCB وتربروف;قاطع بعلبة;135.9;30
DP-F402002;قاطع رئيسى بالعلبة 63 امبير MCB وتربروف;قاطع بعلبة;135.9;30
DP-F402003;قاطع رئيسى بالعلبة 100امبير MCB وتربروف;قاطع بعلبة;135.9;30
DP-F403001;قاطع رئيسى بالعلبة 32 امبير MCCB;قاطع بعلبة;116.5;30
DP-F403002;قاطع رئيسى بالعلبة 32 امبير MCB;قاطع بعلبة;120.25;30
DP-F403003;قاطع رئيسى بالعلبة 50 امبير MCCB;قاطع بعلبة;170.75;40
DP-F403004;قاطع رئيسى بالعلبة 60 امبير MCCB;قاطع بعلبة;170.75;40
DP-F403005;قاطع رئيسى بالعلبة 63 امبير MCCB;قاطع بعلبة;170.75;40
DP-F403006;قاطع رئيسى بالعلبة 100 امبير MCCB;قاطع بعلبة;170.75;40
DP-F403007;قاطع رئيسى بالعلبة 150 امبير MCCB;قاطع بعلبة;310.5;80
DP-F403008;قاطع رئيسى بالعلبة 200 امبير MCCB;قاطع بعلبة;310.5;80
DP-F403009;قاطع رئيسى بالعلبة 250 امبير MCCB;قاطع بعلبة;582.25;150
DP-F403010;قاطع رئيسى بالعلبة 300 امبير MCCB;قاطع بعلبة;1010;200
DP-F403011;قاطع رئيسى بالعلبة 400 امبير MCCB;قاطع بعلبة;1010;200
